Date,Product ID,Model,Serial Number,Quantity,Entity,Ref No.,Person,Remark
20 Jan 26,MIC-02,HMT-2000-4T-MEA,136192210038,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,1361A01F51E8,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,136192209177,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,136192209242,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,136192209964,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,136192209421,,Simat,,Wuttikorn,
20 Jan 26,MIC-02,HMT-2000-4T-MEA,136192209313,,Simat,,Wuttikorn,
20 Jan 26,MIC-03,MIT-5000-8T,1520A02998D2,,Simat,,Wuttikorn,
20 Jan 26,MIC-03,MIT-5000-8T,1520A0299930,,Simat,,Wuttikorn,
20 Jan 26,MIC-03,MIT-5000-8T,1520A02999D3,,Simat,,Wuttikorn,
20 Jan 26,MIC-03,MIT-5000-8T,1520A0236DFB,,Simat,,Wuttikorn,
